Datum;Gas;Water;Electriciteit
06/02/21;10.375;359.743;31.266
26/01/21;10.34;358.105;31.136
09/01/21;10.274;355.605;30.936
01/01/21;10.245;354.684;30.852
21/12/20;10.205;353.012;30.716
06/12/20;10.168;350.237;30.503
24/11/20;10.137;348158;30.348
11/11/20;10.122;346405;30.213
25/10/20;10.106;343968;30.022
16/10/20;;;29.911
12/10/20;10.102;342012;29.899
30/09/20;10.095;339773;29.762
20/09/20;10.09;338170;29.665
10/09/20;10.09;336933;
10/02/20;9.954;298;27.09
08/01/20;9.878;294948;26.777
15/04/19;9.609;;24.267
27/08/19;;277;
07/02/19;;253;
30/11/18;;241;
